han	phien_am
循知必死先鴆妻子召妓妾問曰誰能從我者	Tuần tri tất tử, tiên chậm thê tử, triệu kĩ thiếp vấn viết: "Thuỳ năng tòng ngã giả?".
多云雀鼠貪生就死實難或云官上當死某𡸈願生	Đa vân: "Tước, thử tham sinh, tựu tử thực nan" Hoặc vân: "Quan thượng đương tử, mỗ khởi nguyện sinh".
循乃悉殺諸辞死者因自投于水	Tuần nãi tất sát chư từ tử giả, nhân tự đầu vu thuỷ.
慧度取其屍斬之并妻子及脱等函首送建康	Tuệ Độ thủ kì thi trảm chi, tịnh thê tử cập Thoát đẳng, hàm thủ tống Kiến Khang.
癸丑晋義熙九年	Quý Sửu, [Tấn Nghĩa Hi cửu niên].
春二月林邑王范胡達寇九真	Xuân, nhị nguyệt, Lâm Ấp vương Phạm Hồ Đạt khấu Cửu Chân.
慧度擊斬之	Tuệ Độ kích trảm chi.
乙卯晋義熙十一年	Ất Mão, [Tấn Nghĩa Hi thập nhất niên].
冬十二月林邑寇交州	Đông, thập nhị nguyệt, Lâm Ấp khấu Giao Châu.
州將敗之	Châu tướng bại chi.
庚申晋恭帝德文元熙二年宋武帝劉裕永初元年	Canh Thân, [Tấn Cung Đế Đức Văn, Nguyên Hi nhị niên Tống Vũ Đế Lưu Dụ, Vĩnh Sơ nguyên niên].
秋七月慧度擊林邑大破之斬殺過半	Thu, thất nguyệt, Tuệ Độ kích Lâm Ấp đại phá chi, trảm sát quá bán.
林邑乞降許之	Lâm Ấp khất hàng, hứa chi.
前後爲所掠者	Tiền hậu vi sở lược giả..
皆遣還	giai khiển hoàn.
慧度在州布衣蔬食禁淫祠修學校歲飢以私祿賑給之爲政纖密一如治家吏民畏而愛之	Tuệ Độ tại châu, bố y, sơ thực, cấm dâm từ, tu học hiệu tuế cơ dĩ tư lộc chẩn cấp chi, vi chính tiêm mật nhất như trị gia, lại dân uý nhi ái chi.
城門夜開道不十遺	Thành môn dạ khai, đạo bất thập di.
慧度卒贈左將軍以其子弘文爲刺史	Tuệ Độ tốt, tặng Tả tướng quân, dĩ kì tử Hoằng Văn vi Thứ sử.
是歲晋亡	Thị tuế Tấn vong.
丁卯宋文帝義龍元家四年	Đinh Mão, [Tống Văn Đế Nghĩa Long, Nguyên Gia tứ niên].
夏四月庚戌宋帝徵弘文爲廷尉王徽之爲刺史	Hạ, tứ nguyệt, Canh Tuất, Tống Đế trưng Hoằng Văn vi Đình uý, Vương Huy Chi vi Thứ sử.
時弘文有疾自輿就道或勸之待病愈	Thời Hoằng Văn hữu tật, tự dư tựu đạo, hoặc khuyên chi đãi bệnh dũ.
弘文曰吾仗節三世常欲投軀帝庭况被徵乎	Hoằng Văn viết: "Ngô trượng tiết tam thế, thường dục đầu khu đế đình, huống bị trưng hồ?".
遂行卒於廣州	Toại hành, tốt ư Quảng Châu.
辛未宋元嘉八年	Tân Mùi, [Tống Nguyên Gia bát niên].
林邑王范陽邁寇九真州兵擊却之	Lâm Ấp vương Phạm Dương Mại khấu Cửu Chân, châu binh kích khước chi.
壬申宋元嘉九年	Nhâm Thân, [Tống Nguyên Gia cửu niên].
夏五月林邑王范陽邁遣使入貢于宋求領交州	Hạ, ngũ nguyệt, Lâm Ấp vương Phạm Dương Mại khiển sứ nhập cống vu Tống, cầu lĩnh Giao Châu.
宋帝詔答以道遠不許	Tống đế chiếu đáp dĩ đạo viễn bất hứa.
黎文休曰賁育之稚幼則不能抗跛尪之壯年	Lê Văn Hưu viết: Bôn Dục chi trĩ ấu tắc bất năng kháng bả uông chi tráng niên.
林邑乘我越無軍之時乃寇日南九真而求領之𡸈當時我越不能支此林邑耶特以無統率之者故也	Lâm Ấp thừa ngã Việt vô quân chi thời, nãi khấu Nhật Nam, Cửu Chân, nhi cầu lĩnh chi, khởi đương thời ngã Việt bất năng chi thử Lâm Ấp da! Đặc dĩ vô thống suất chi giả cố dã.
時不終否而必泰	Thời bất chung phủ nhi tất thái.
勢不終屈而必伸	Thế bất chung khuất nhi tất thân.
李太宗斬其主乍斗聖宗擒其主制矩而繁其民五萬人至今爲臣僕亦足以雪數年污辱之讐耻也	Lí Thái Tông trảm kì chủ Sạ Đẩu, Thánh Tông cầm kì chủ Chế Củ, nhi phồn kì dân ngũ vạn nhân, chí kim vi thần bộc, diệc túc dĩ tuyết sổ niên ô nhục chi thù xỉ dã.
丙子宋元嘉十三年	Bính Tí, [Tống Nguyên Gia thập tam niên].
春二月宋帝遣交州刺史檀和之討林邑	Xuân, nhị nguyệt, Tống Đế khiển Giao Châu Thứ sử Đàn Hoà Chi thảo Lâm Ấp.
初林邑王笵陽邁雖遣使入貢而寇盗不絶故宋帝使和之討之	Sơ, Lâm Ấp vương Phạm Dương Mại tuy khiển sứ nhập cống, nhi khấu đạo bất tuyệt, cố Tống Đế sử Hoà Chi thảo chi.
時南陽人宗慤家世業儒慤獨好武事常言願乘長風破萬里浪	Thời Nam Dương nhân Tông Xác, gia thế nghiệp nho, Xác độc hiếu vũ sự, thường ngôn: "Nguyện thừa trường phong phá vạn lí lãng".
及和之伐林邑慤自奮請從軍	Cập Hoà Chi phạt Lâm Ấp, Xác tự phấn thỉnh tòng quân.
宋帝以慤爲振武將軍	Tống Đế dĩ Xác vi Chấn vũ tướng quân.
和之遣慤爲前鋒	Hoà Chi khiển Xác vi tiền phong.
陽邁聞軍出遣使表請還所掠日南民輸金一萬斤銀十萬斤	Dương Mại văn quân xuất, khiển sứ biểu thỉnh hoàn sở lược Nhật Nam dân thâu, kim nhất vạn cân, ngân thập vạn cân.
宋帝詔和之若陽邁果有誠欵亦與其歸順	Tống Đế chiếu Hoà Chi: "Nhược Dương Mại quả hữu thành khoản, diệc dữ kì quy thuận".
和之至朱梧戍小註朱梧縣自漢以來属日南郡時於其地置戍遣府户曹參軍姜仲基等府者交州刺史府也前	Hoà Chi chí Chu Ngô thú [Tiểu chú Chu Ngô huyện tự Hán, dĩ lai thuộc Nhật Nam quận, thời ư kì địa trí thú], khiển phủ Hộ tào tham quân Khương Trọng Cơ đẳng [Phủ giả Giao Châu Thứ sử phủ dã] tiền..
詣陽邁陽邁執之	nghệ Dương Mại, Dương Mại chấp chi.
和之怒進圍林邑將笵扶龍於區粟城	Hoà Chi nộ, tiến vi Lâm Ấp tướng Phạm Phù Long ư Khu Túc thành.
陽邁遣其將笵昆沙達救之	Dương Mại khiển kì tướng Phạm Côn Sa Đạt cứu chi.
慤潜兵迎擊昆沙達大破之	Xác tiềm binh nghênh kích Côn Sa Đạt, đại phá chi.
五月和之等拨區粟城斬扶龍乘勝入象浦	Ngũ nguyệt, Hoà Chi đẳng bạt Khu Túc thành, trảm Phù Long, thừa thắng nhập Tượng Phố.
陽邁傾國來戰以具装被象前後無際	Dương Mại khuynh quốc lai chiến, dĩ cụ trang bị tượng tiền hậu vô tế.
慤曰吾聞外國有獅子威服百獸	Xác viết: "Ngô văn ngoại quốc hữu sư tử, uy phục bách thú".
乃制其形與象相拒象果驚走	Nãi chế kì hình dữ tượng tương cự, tượng quả kinh tẩu.
林邑兵大敗	Lâm Ấp binh đại bại.
和之遂克林邑陽邁及其子僅以身免所獲異名之寶不可勝計	Hoà Chi toại khắc Lâm Ấp, Dương Mại cập kì tử cẩn dĩ thân miễn, sở hoạch dị danh chi bảo bất khả thăng kê.
慤一無所取還家之日衣櫛蕭然	Xác nhất vô sở thủ, hoàn gia chi nhật, y trất tiêu nhiên.
史臣吳士連曰有用之才無施不可𡸈拘於世	Sử thần Ngô Sĩ Liên viết: Hữu dụng chi tài vô thí bất khả, khởi câu ư thế..
習哉人之立志有異	tập tai? Nhân chi lập chí hữu dị.
尔志乎道德者功名不足以勤其心志乎功名者富貴不足以勤其心	Nhĩ chí hồ Đạo đức giả, công danh bất túc dĩ cần kì tâm; chí hồ Công danh giả, phú quý bất túc dĩ cần kì tâm.
宗慤之志盖志乎功名者歟還家之日財物一無所取此富貴不足以勤其心之實也	Tông Xác chi chí cái chí hồ Công danh giả dư? Hoàn gia chi nhật, tài vật nhất vô sở thủ, thử phú quý bất túc dĩ cần kì tâm chi thực dã.
較之志道德者固不可及而視其志富貴者風斯下矣	Giảo chi chí đạo đức giả, cố bất khả cập, nhi thị kì chí Phú quý giả, phong tư hạ hĩ.
丁丑宋元嘉十四年	Đinh Sửu, [Tống Nguyên Gia thập tứ niên].
冬十月壬午檀和之去官歸	Đông, thập nguyệt, Nhâm Ngọ, Đàn Hoà chi khử quan quy.
戊申宋明帝彧泰始四年	Mậu Thân, [Tống Minh Đế Úc, Thái Thuỷ tứ niên].
春三月刺史劉牧病卒	Xuân, tam nguyệt, Thứ sử Lưu Mục bệnh tốt.
州人李長仁殺州牧北來部曲遂據州反自稱刺史	Châu nhân Lí Trường Nhân sát châu mục Bắc lai bộ khúc toại cứ châu phản, tự xưng Thứ sử.
秋八月宋帝以南康相劉勃爲交州刺史	Thu, bát nguyệt, Tống đế dĩ Nam Khang tướng Lưu Bột vi Giao Châu Thứ sử.
勃至爲長人	Bột chí, vi Trường Nhân..
所拒未幾卒	sở cự, vị cơ tốt.
十一月李長仁遣使請降自貶行州事	Thập nhất nguyệt, Lí Trường Nhân khiển sứ thỉnh hàng, tự biếm Hành Châu sự.
許之	Hứa chi.
己未宋順帝準昇明三年齊髙帝蕭道成建元元年	Kỉ Mùi, [Tống Thuận Đế Chuẩn, Thăng Minh tam niên; Tề Cao Đế Tiêu Đạo Thành, Kiến Nguyên nguyên niên].
春三月朔日食	Xuân, tam nguyệt, sóc, nhật thực.
秋七月齊帝以李叔獻爲交州刺史	Thu, thất nguyệt, Tề Đế dĩ Lí Thúc Hiến vi Giao Châu Thứ sử.
叔獻長仁之從弟也	Thúc Hiến Trường Nhân chi tòng đệ dã.
初刺史長仁卒叔獻代領州事以號令未行遣使求刺史於宋	Sơ, Thứ sử Trường Nhân tốt, Thúc Hiến đại lĩnh châu sự, dĩ hiệu lệnh vị hành, khiển sứ cầu Thứ sử ư Tống.
宋以南海泰守沈渙爲刺史以叔獻爲寧遠軍司馬武平新昌二部太守	Tống dĩ Nam Hải Thái thú Thẩm Hoán vi Thứ sử, dĩ Thúc Hiến vi Ninh viễn quân tư mã, Vũ Bình, Tân xương nhị bộ Thái thú.
叔獻既得朝命人心服從遂發兵守險不納渙	Thúc Hiến ký đắc triều mệnh nhân tâm phục tòng, toại phát binh thủ hiểm, bất nạp Hoán.
渙留鬱林卒	Hoán lưu Uất Lâm tốt.
即以叔獻爲刺史撫安南土	Tức dĩ Thúc Hiến vi Thứ sử, phủ an Nam thổ.
是歲宋亡	Thị tuế Tống vong.
甲子齊武帝頤永明二年	Giáp Tíl [Tề Vũ Đế Di, Vĩnh Minh nhị niên].
李叔献既受命而斷割貢献	Lí Thúc Hiến ký thụ mệnh nhi đoạn cát cống hiến.
齊帝欲討之	Tề Đế dục thảo chi.
乙丑齊永明三年	Ất Sửu, [Tề Vĩnh Minh tam niên].
春正月丙辰齊帝以大司農劉楷爲刺史發南康盧陵始興兵討李叔獻	Xuân, chính nguyệt, Bính Thìn, Tề Đế dĩ Đại Tư nông Lưu Khải vi Thứ sử, phát Nam Khang, Lư Lăng, Thuỷ Hưng binh thảo Lí Thúc Hiến.
叔獻遣使乞罷兵献二十隊純銀兜𮢶及孔雀毦毦仍吏反以孔雀毛爲飭也	Thúc Hiến khiển sứ khất bãi binh, hiến nhị thập đội thuần ngân đâu tạc, cập khổng tước nhị [Nhị nhưng lại phiên dĩ Khổng tước mao vi sức dã].
齊帝不許	Tề Đế bất hứa.
叔献惧爲楷所襲間道自湘州朝于齊	Thúc Hiến cụ vị Khải sở tập, gián đạo tự Tương Châu triều vu Tề.
楷迺入鎮	Khải nãi nhập trấn.
庚午齊永明八年	Canh Ngọ, [Tề Vĩnh Minh bát niên].
冬十月刺史房法乘代刘專好讀書嘗属之欲反記也	Đông, thập nguyệt, Thứ sử Phòng Pháp Thặng đại Lưu chuyên hiếu độc thư, thường chúc [Chi dục phiên ký dã].
疾不治事由是長吏伏登之得擅權	tật, bất trị sự, do thị Trưởng lại Phục Đăng Chi đắc thiện quyền,..
改易將吏不使法乘知	cải dịch tướng lại bất sử Pháp Thặng tri.
録事房秀文白之	Lục sự Phòng Tú Văn bạch chi.
法乘大怒繋登之於獄十餘日	Pháp Thặng đại nộ, hệ Đăng Chi ư ngục thập dư nhật.
登之厚賂法乘妹夫崔景叔得出因將部曲襲州執法乘謂之曰使君既有疾不宜煩勞囚之别室	Đăng Chi hậu lộ Pháp Thặng muội phu Thôi Cảnh Thúc, đắc xuất, nhân tương bộ khúc tập châu, chấp Pháp Thặng vị chi viết: "Sứ quân ký hữu tật, bất nghi phiền lao", tù chi biệt thất.
法乘無事復就登之求讀書	Pháp Thặng vô sự, phục tựu Đăng Chi cầu độc thư.
登之曰使君靜處猶恐疾作𡸈可觀書遂不與乃奏法乘心疾動不能任事	Đăng Chi viết: "Sứ quân tĩnh xứ do khủng tật tác, khởi khả quan thư", toại bất dữ, nãi tấu Pháp Thặng tâm tật động, bất năng nhiệm sự.
十二月乙卯齊帝以登之爲刺使	Thập nhị nguyệt, Ất Mão, Tề Đế dĩ Đăng Chi vi Thứ sử.
法乘還至五嶺卒	Pháp Thặng hoàn chí Ngũ Lĩnh tốt.
史臣吳士連曰房法乘好讀書而廢事政長吏因之擅權改易將吏書癖之過也	Sử Thần Ngô Sĩ Liên viết: Phòng Pháp Thặng hiếu độc thư nhi phế sự chính, trưởng lại nhân chi thiện quyền, cải dịch tướng lại, thư phích chi quá dã.
至於繋獄而	Chí ư hệ ngục nhi..
治之能補過矣	trị chi, năng bổ quá hĩ.
及聽請託之言乃置之不問其失大矣宜其反焉所襲不死幸矣	Cập thính thỉnh thác chi ngôn, nãi trí chi bất vấn kì thất đại hĩ, nghi kì phản yên sở tập, bất tử hạnh hĩ.
故凡事過中未有不凶者也	Cố phàm sự quá trung vị hữu bất hung giả dã.
壬午梁武帝蕭衍天監元年	Nhâm Ngọ, [Lương Vũ Đế Tiêu Diễn, Thiên Giám nguyên niên].
是歲齊亡	Thị tuế Tề vong.
乙酉梁天監四年	Ất Dậu, [Lương Thiên Giám tứ niên].
春二月交州刺史李元凱㨿州反長吏李畟討平之	Xuân, nhị nguyệt, Giao Châu Thứ sử Lí Nguyên Khải cứ châu phản, trưởng lại Lí Tắc thảo bình chi.
初元凱代登之爲刺史以梁受齊禪而恩威未加因奉州叛	[Sơ, Nguyên Khải đại Đăng Chi vi Thứ sử, dĩ Lương thụ Tề thiền, nhi ân uy vị gia, nhân phụng châu phản.
至是畟以宋兵討元凱殺之	Chí thị Tắc dĩ tông binh thảo Nguyên Khải sát chi].
丙申梁天監十五年	Bính Thân, [Lương Thiên Giám thập ngũ niên].
冬十一月詔李畟爲刺史	Đông, thập nhất nguyệt, chiếu Lí Tắc vi Thứ sử.
畟又斬元凱餘黨李宗老傳首建康州乃平	Tắc hựu trảm Nguyên Khải dư đảng Lí Tông Lão, truyền thủ Kiến Khang, châu nãi bình.
